variant,lookback,body_min,sl_atr,tp_r,max_hold,IS_trades,IS_pf,IS_expectancy_r,VAL_trades,VAL_pf,VAL_expectancy_r,OOS_trades,OOS_pf,OOS_expectancy_r,ALL_trades,ALL_pf,ALL_expectancy_r,min_exp,min_pf
simple_cloud,40,0.3,1.5,5.0,96,644,1.1224457602101758,0.09618825816057937,328,1.2303779407952256,0.17980717330359075,274,1.067721211071421,0.05388037961156848,1246,1.1384685134682109,0.10889664134234404,0.05388037961156848,1.067721211071421
simple_cloud,40,0.0,1.5,5.0,96,646,1.1211753563969638,0.09508315335605338,328,1.2335658919886978,0.18182421758570863,282,1.0378847895250054,0.03036156891011065,1256,1.1311668303692592,0.10320383986367367,0.03036156891011065,1.0378847895250054
score4,20,0.3,1.5,5.0,96,523,1.0367718219432012,0.02919072840856931,266,1.046186873606018,0.03715786072063097,239,1.0947280419706833,0.07570316324853767,1028,1.052725069527006,0.04206595128965963,0.02919072840856931,1.0367718219432012
score4,40,0.3,1.5,5.0,96,519,1.0321871593253522,0.025562140573567912,263,1.0797983247531513,0.06402070921260423,237,1.1063124656952408,0.08478082707341984,1019,1.0618059372115056,0.049261289005885354,0.025562140573567912,1.0321871593253522
score4,40,0.0,1.5,5.0,96,521,1.032100508879344,0.025457075424042488,271,1.0403536370909356,0.03261050377459378,243,1.1038795781799686,0.08293266735355524,1035,1.0511431686750754,0.04082436810217871,0.025457075424042488,1.032100508879344
score4,20,0.0,1.5,5.0,48,549,1.0211274951489422,0.015771694157636674,278,1.1584011173483337,0.11452377911656027,249,1.0224413193763342,0.017013384418544556,1076,1.055943979777707,0.04157305149364674,0.015771694157636674,1.0211274951489422
score4,20,0.3,1.5,5.0,48,545,1.0142662800466546,0.010649424525129694,271,1.2002004750639155,0.143312216215512,242,1.0351543605049054,0.02652403693441337,1058,1.0651768905099044,0.0482612135148653,0.010649424525129694,1.0142662800466546
score4,20,0.0,1.5,5.0,96,525,1.0366747799347125,0.02907264056366883,273,1.0130497328130672,0.010564069420101985,245,1.0926155008516016,0.0740924006812813,1043,1.0435679825056332,0.03480322666781198,0.010564069420101985,1.0130497328130672
strict,10,0.3,1.5,5.0,48,415,1.0120952702205896,0.009112601142976379,205,1.1055634725360897,0.0787107555700488,169,1.0117361889148155,0.009036897082399603,789,1.0360024097417686,0.02717955636643945,0.009036897082399603,1.0117361889148155
simple_cloud,40,0.3,1.0,5.0,96,866,1.0098072533160656,0.008119862156603999,434,1.2316998665606558,0.18525311911646908,347,1.0343793167432944,0.028434766297767956,1647,1.0720196285932584,0.059076210218270864,0.008119862156603999,1.0098072533160656
simple_cloud,40,0.0,1.0,5.0,96,874,1.0096458790255884,0.007979371322082771,443,1.2355928070523943,0.1882615207597011,360,1.0095881735964063,0.007963510848126316,1677,1.0677621280068121,0.05559969477482015,0.007963510848126316,1.0095881735964063
simple_cloud,40,0.3,1.0,3.0,48,1031,1.022375095969185,0.016593959418030296,513,1.1728005276003957,0.12362143007669633,427,1.0089748656712882,0.006688107920692179,1971,1.0575120017062887,0.042304407849553534,0.006688107920692179,1.0089748656712882
score4,10,0.0,1.5,5.0,96,607,1.0074940326206816,0.005968567060348496,314,1.0389133502034957,0.03147767819008866,277,1.0260383717028188,0.021090581824688842,1198,1.0201173782182802,0.016151087080766433,0.005968567060348496,1.0074940326206816
simple_cloud,40,0.3,1.0,3.0,96,1028,1.0293499907123016,0.021841189586489094,513,1.1594594594594594,0.11500974658869395,427,1.003125,0.00234192037470726,1968,1.0566685518178083,0.04189671895066605,0.00234192037470726,1.003125
score4,40,0.0,1.5,5.0,48,545,1.002734394545563,0.0020461750055024495,276,1.1758006485568804,0.12738769687318616,247,1.0188968501917275,0.014289215257058433,1068,1.05009286117989,0.037269293898400425,0.0020461750055024495,1.002734394545563
simple_cloud,10,0.3,1.0,5.0,48,1178,1.0541102992641667,0.04350186425536827,589,1.1693768949493208,0.1351564356980999,460,1.000727989583021,0.0005971577324945335,2227,1.0730764688740264,0.05888056994878858,0.0005971577324945335,1.000727989583021
