campaign,leg,signal_time,entry_time,entry,stop,r_pips,tactical_exit_time,tactical_exit,tactical_reason,tactical_gross_pips,runner_exit_time,runner_exit,runner_reason,runner_gross_pips,weighted_gross_pips,cost_pips,net_pips
1,CORE,2025-04-03 17:45:00,2025-04-03 17:45:00,191.034,191.284,25.0,2025-04-03 17:47:00,191.284,STOP,-25.0,2025-04-03 17:47:00,191.284,STOP,-25.0,-25.0,3.0,-28.0
2,CORE,2025-04-03 18:30:00,2025-04-03 18:30:00,190.832,191.302,47.0,2025-04-03 18:33:00,191.302,STOP,-47.0,2025-04-03 18:33:00,191.302,STOP,-47.0,-47.0,3.0,-50.0
3,CORE,2025-04-04 01:00:00,2025-04-04 01:00:00,190.462,190.712,25.0,2025-04-04 01:17:00,189.962,2R_TARGET,50.0,2025-04-04 16:00:00,187.397,H1_EMA20_EXIT,306.5,128.96,3.0,125.96
3,ADD1,2025-04-04 03:45:00,2025-04-04 03:45:00,190.196,190.919,72.3,2025-04-04 04:05:00,190.919,STOP,-72.3,2025-04-04 04:05:00,190.919,STOP,-72.3,-72.3,3.0,-75.3
3,ADD2,2025-04-04 04:45:00,2025-04-04 04:45:00,190.029,190.829,80.0,2025-04-04 05:07:00,190.829,STOP,-80.0,2025-04-04 05:07:00,190.829,STOP,-80.0,-80.0,3.0,-83.0
3,ADD3,2025-04-04 06:45:00,2025-04-04 06:45:00,188.966,189.766,80.0,2025-04-04 06:48:00,189.766,STOP,-80.0,2025-04-04 06:48:00,189.766,STOP,-80.0,-80.0,3.0,-83.0
4,CORE,2025-04-04 10:45:00,2025-04-04 10:45:00,187.751,188.389,63.8,2025-04-04 10:51:00,188.389,STOP,-63.8,2025-04-04 10:51:00,188.389,STOP,-63.8,-63.8,3.0,-66.8
4,ADD1,2025-04-07 02:45:00,2025-04-07 02:45:00,187.246,187.829,58.3,2025-04-07 03:17:00,187.829,STOP,-58.3,2025-04-07 03:17:00,187.829,STOP,-58.3,-58.3,3.0,-61.3
5,CORE,2025-04-08 03:15:00,2025-04-08 03:15:00,187.937,188.489,55.2,2025-04-08 03:28:00,188.489,STOP,-55.2,2025-04-08 03:28:00,188.489,STOP,-55.2,-55.2,3.0,-58.2
6,CORE,2025-04-08 03:45:00,2025-04-08 03:45:00,187.622,188.174,55.2,2025-04-08 03:47:00,188.174,STOP,-55.2,2025-04-08 03:47:00,188.174,STOP,-55.2,-55.2,3.0,-58.2
7,CORE,2025-04-09 07:45:00,2025-04-09 07:45:00,185.156,185.755,59.9,2025-04-09 07:47:00,185.755,STOP,-59.9,2025-04-09 07:47:00,185.755,STOP,-59.9,-59.9,3.0,-62.9
